	labels	bSem	bRel	bSil	rep
0	sem_rel_sil	1	1	1	1
1	sem_rel_sil	1	1	1	2
2	sem_rel_sil	1	1	1	3
3	sem_rel_sil	1	1	1	4
4	sem_rel_sil	1	1	1	5
5	sem_rel_sil	1	1	1	6
6	sem_rel_sil	1	1	1	7
7	sem_rel_sil	1	1	1	8
8	sem_scr_sil	1	0	1	1
9	sem_scr_sil	1	0	1	2
10	sem_scr_sil	1	0	1	3
11	sem_scr_sil	1	0	1	4
12	sem_scr_sil	1	0	1	5
13	sem_scr_sil	1	0	1	6
14	sem_scr_sil	1	0	1	7
15	sem_scr_sil	1	0	1	8
16	syn_rel_sil	0	1	1	1
17	syn_rel_sil	0	1	1	2
18	syn_rel_sil	0	1	1	3
19	syn_rel_sil	0	1	1	4
20	syn_rel_sil	0	1	1	5
21	syn_rel_sil	0	1	1	6
22	syn_rel_sil	0	1	1	7
23	syn_rel_sil	0	1	1	8
24	syn_scr_sil	0	0	1	1
25	syn_scr_sil	0	0	1	2
26	syn_scr_sil	0	0	1	3
27	syn_scr_sil	0	0	1	4
28	syn_scr_sil	0	0	1	5
29	syn_scr_sil	0	0	1	6
30	syn_scr_sil	0	0	1	7
31	syn_scr_sil	0	0	1	8
32	sem_rel_alo	1	1	0	1
33	sem_rel_alo	1	1	0	2
34	sem_rel_alo	1	1	0	3
35	sem_rel_alo	1	1	0	4
36	sem_rel_alo	1	1	0	5
37	sem_rel_alo	1	1	0	6
38	sem_rel_alo	1	1	0	7
39	sem_rel_alo	1	1	0	8
40	sem_scr_alo	1	0	0	1
41	sem_scr_alo	1	0	0	2
42	sem_scr_alo	1	0	0	3
43	sem_scr_alo	1	0	0	4
44	sem_scr_alo	1	0	0	5
45	sem_scr_alo	1	0	0	6
46	sem_scr_alo	1	0	0	7
47	sem_scr_alo	1	0	0	8
48	syn_rel_alo	0	1	0	1
49	syn_rel_alo	0	1	0	2
50	syn_rel_alo	0	1	0	3
51	syn_rel_alo	0	1	0	4
52	syn_rel_alo	0	1	0	5
53	syn_rel_alo	0	1	0	6
54	syn_rel_alo	0	1	0	7
55	syn_rel_alo	0	1	0	8
56	syn_scr_alo	0	0	0	1
57	syn_scr_alo	0	0	0	2
58	syn_scr_alo	0	0	0	3
59	syn_scr_alo	0	0	0	4
60	syn_scr_alo	0	0	0	5
61	syn_scr_alo	0	0	0	6
62	syn_scr_alo	0	0	0	7
63	syn_scr_alo	0	0	0	8
